year,hemisphere,min,mean,max
1979,north,6.895,12.319560439560439,16.635
1980,north,7.533,12.334147540983606,16.302
1981,north,6.902,12.135486338797815,15.801
1982,north,7.16,12.439445054945056,16.325
1983,north,7.204,12.335896174863388,16.412
1984,north,6.396,11.912601092896175,15.809
1985,north,6.486,11.986598901098901,16.163
1986,north,7.122,12.208224043715846,16.158
1987,north,6.89,11.397227272727273,16.293
1988,north,7.048,12.093169491525424,16.309
1989,north,6.888,11.966854794520549,15.766
1990,north,6.011,11.693841095890411,16.249
1991,north,6.259,11.749257534246576,15.647
1992,north,7.159,12.11048087431694,15.576
1993,north,6.161,11.923052054794521,16.048
1994,north,6.934,12.011317808219179,15.77
1995,north,6.012,11.415109589041096,15.384
1996,north,7.147,11.840786885245901,15.484
1997,north,6.602,11.667613698630136,15.684
1998,north,6.293,11.757380821917808,16.07
1999,north,5.676,11.691465753424657,15.627
2000,north,5.943,11.508174863387978,15.498
2001,north,6.567,11.600016438356164,15.742
2002,north,5.625,11.362865753424657,15.624
2003,north,5.969,11.397221917808219,15.629
2004,north,5.77,11.240434426229509,15.3
2005,north,5.314,10.906975342465753,14.993
2006,north,5.746,10.772613698630137,14.777
2007,north,4.147,10.47409589041096,14.842
2008,north,4.548,10.977846994535518,15.354
2009,north,5.047,10.931969863013698,15.195
2010,north,4.59,10.711391780821918,15.351
2011,north,4.333,10.483495890410959,14.704
2012,north,3.34,10.406098360655738,15.307
2013,north,5.04,10.89711506849315,15.196
2014,north,4.988,10.79049589041096,15.007
2015,north,4.387,10.565816438356164,14.554
2016,north,4.145,10.163478142076503,14.566
2017,north,4.635,10.392701369863014,14.449
2018,north,4.63,10.35504109589041,14.499
2019,north,4.166,10.200983561643836,14.896
2020,north,3.793,10.149868852459017,15.071
2021,north,4.757,10.551783561643836,14.865
2022,north,4.692,10.661424657534246,14.94
2023,north,4.213,10.469769863013699,14.646
